datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,energy_kwh,sub_metering_1_kwh,sub_metering_2_kwh,sub_metering_3_kwh,other_energy_kwh,was_imputed,observed_minutes,coverage_pct,year,month,month_name,day_name,day_type,anomaly_status
2006-12-16,3.0534747474747475,0.08818686868686867,236.24376262626262,13.082828282828283,20.152933333333333,0.0,0.5459999999999999,4.926,14.680933333333334,0,396,27.500000000000004,2006,12,Dec,Saturday,Weekend,Low coverage
2006-12-17,2.354486111111111,0.1569486111111111,240.0870277777778,9.999027777777778,56.507666666666665,2.033,4.187,13.341,36.946666666666665,0,1440,100.0,2006,12,Dec,Sunday,Weekend,High usage
2006-12-18,1.5304347222222223,0.11235555555555556,241.23169444444446,6.421666666666667,36.73043333333333,1.063,2.621,14.017999999999999,19.028433333333332,0,1440,100.0,2006,12,Dec,Monday,Weekday,Normal
2006-12-19,1.1570791666666667,0.10482083333333334,241.9993125,4.926388888888889,27.7699,0.839,7.601999999999999,6.197,13.1319,0,1440,100.0,2006,12,Dec,Tuesday,Weekday,Normal
2006-12-20,1.5456583333333334,0.11180416666666666,242.30806249999998,6.467361111111111,37.0958,0.0,2.648,14.062999999999999,20.384800000000002,0,1440,100.0,2006,12,Dec,Wednesday,Weekday,Normal
2006-12-21,1.1924402777777778,0.10011527777777778,241.0419027777778,5.028194444444445,28.618566666666666,1.765,2.6229999999999998,10.421,13.809566666666667,2,1440,100.0,2006,12,Dec,Thursday,Weekday,Normal
2006-12-22,1.6259291666666669,0.12979583333333333,241.1845486111111,6.872916666666667,39.0223,3.151,0.35000000000000003,11.131,24.3903,0,1440,100.0,2006,12,Dec,Friday,Weekday,Normal
2006-12-23,3.314851388888889,0.15379861111111112,240.1360763888889,14.028055555555557,79.55643333333333,2.669,0.425,14.725999999999999,61.73643333333333,0,1440,100.0,2006,12,Dec,Saturday,Weekend,High usage
2006-12-24,1.7708416666666669,0.10409722222222223,241.6874375,7.640416666666667,42.5002,1.703,5.082,6.891,28.8242,0,1440,100.0,2006,12,Dec,Sunday,Weekend,Normal
2006-12-25,1.9049444444444443,0.1668611111111111,243.39993055555558,7.951527777777779,45.718666666666664,6.62,1.962,5.795,31.341666666666665,0,1440,100.0,2006,12,Dec,Monday,Weekday,Normal
2006-12-26,2.7320208333333333,0.11465416666666667,241.6254375,11.347916666666666,65.5685,1.086,2.533,14.979,46.9705,0,1440,100.0,2006,12,Dec,Tuesday,Weekday,High usage
2006-12-27,1.0616388888888888,0.12423749999999999,243.76736111111111,4.5175,25.479333333333333,0.0,0.314,6.976,18.189333333333334,0,1440,100.0,2006,12,Dec,Wednesday,Weekday,Normal
2006-12-28,1.4393319444444443,0.14505277777777778,243.26833333333335,6.086250000000001,34.54396666666667,2.207,4.419,9.176,18.741966666666666,0,1440,100.0,2006,12,Dec,Thursday,Weekday,Normal
2006-12-29,2.204438888888889,0.13638472222222223,240.87130555555555,9.271388888888888,52.906533333333336,1.252,5.162,11.329,35.16353333333333,0,1440,100.0,2006,12,Dec,Friday,Weekday,Normal
2006-12-30,1.9460666666666666,0.21716666666666667,240.53597222222223,8.318888888888889,46.7056,3.147,7.938,12.515,23.1056,2,1440,100.0,2006,12,Dec,Saturday,Weekend,Normal
2006-12-31,2.426525,0.10475833333333334,239.8965763888889,10.199583333333333,58.2366,0.0,0.34700000000000003,6.502,51.3876,0,1440,100.0,2006,12,Dec,Sunday,Weekend,High usage
2007-01-01,1.9090305555555556,0.10289305555555556,240.12897916666665,7.916944444444444,45.81673333333333,0.0,0.352,5.88,39.58473333333333,0,1440,100.0,2007,1,Jan,Monday,Weekday,Normal
2007-01-02,0.8814138888888889,0.13218194444444445,241.94377777777777,3.7140277777777775,21.153933333333335,0.0,0.34800000000000003,6.562,14.243933333333333,0,1440,100.0,2007,1,Jan,Tuesday,Weekday,Normal
2007-01-03,0.7042041666666666,0.13661666666666666,243.5570902777778,3.0140277777777778,16.9009,0.0,0.34400000000000003,4.765,11.7919,0,1440,100.0,2007,1,Jan,Wednesday,Weekday,Normal
2007-01-04,2.2634805555555553,0.1404875,239.7502986111111,9.478194444444444,54.32353333333333,1.051,7.5969999999999995,10.896,34.77953333333333,0,1440,100.0,2007,1,Jan,Thursday,Weekday,High usage
2007-01-05,1.8842805555555555,0.12024583333333333,240.49576388888892,7.885138888888889,45.22273333333333,1.4829999999999999,0.379,7.602,35.75873333333333,0,1440,100.0,2007,1,Jan,Friday,Weekday,Normal
2007-01-06,1.047484722222222,0.13346388888888888,239.67305555555555,4.543888888888889,25.139633333333332,1.3359999999999999,0.402,5.678,17.723633333333332,0,1440,100.0,2007,1,Jan,Saturday,Weekend,Normal
2007-01-07,1.6997361111111111,0.17088472222222223,240.90248611111113,7.282638888888889,40.79366666666667,1.9869999999999999,8.177,12.81,17.819666666666667,0,1440,100.0,2007,1,Jan,Sunday,Weekend,Normal
2007-01-08,1.5565,0.14414444444444446,239.5769513888889,6.551666666666667,37.356,0.0,0.467,17.547,19.342,0,1440,100.0,2007,1,Jan,Monday,Weekday,Normal
2007-01-09,1.2979541666666667,0.14392222222222223,240.48752083333335,5.521111111111111,31.1509,1.688,4.267,9.790000000000001,15.405899999999999,0,1440,100.0,2007,1,Jan,Tuesday,Weekday,Normal
2007-01-10,1.496388888888889,0.15864722222222222,241.02745138888892,6.357777777777779,35.913333333333334,0.771,4.456,11.012,19.674333333333333,0,1440,100.0,2007,1,Jan,Wednesday,Weekday,Normal
2007-01-11,1.5661069444444444,0.1597361111111111,241.1556875,6.658333333333333,37.58656666666667,1.378,2.17,12.415,21.623566666666665,0,1440,100.0,2007,1,Jan,Thursday,Weekday,Normal
2007-01-12,1.014788888888889,0.13829166666666665,241.53820833333336,4.309166666666666,24.354933333333335,0.0,0.439,8.276,15.639933333333333,0,1440,100.0,2007,1,Jan,Friday,Weekday,Normal
2007-01-13,2.2130652777777775,0.2019,239.28361111111113,9.453055555555554,53.113566666666664,7.806,2.975,11.341,30.991566666666667,0,1440,100.0,2007,1,Jan,Saturday,Weekend,Normal
2007-01-14,2.090992361111111,0.15790069444444446,238.81780555555557,8.971666666666668,50.183816666666665,1.777,4.215,12.9915,31.200316666666666,1,1440,100.0,2007,1,Jan,Sunday,Weekend,Normal
2007-01-15,1.4921375,0.12143055555555557,241.2409097222222,6.261527777777778,35.8113,1.099,2.239,15.163,17.3103,0,1440,100.0,2007,1,Jan,Monday,Weekday,Normal
2007-01-16,1.1711138888888888,0.12876944444444444,241.94475694444446,4.975972222222222,28.106733333333334,2.063,0.644,6.583,18.81673333333333,0,1440,100.0,2007,1,Jan,Tuesday,Weekday,Normal
2007-01-17,1.977561111111111,0.13941111111111112,241.00525,8.283888888888889,47.46146666666667,3.5,5.737,16.064,22.160466666666668,0,1440,100.0,2007,1,Jan,Wednesday,Weekday,Normal
2007-01-18,1.2649041666666667,0.12341111111111111,240.89359722222224,5.3425,30.3577,0.0,0.336,13.491,16.5307,0,1440,100.0,2007,1,Jan,Thursday,Weekday,Normal
2007-01-19,1.0280833333333335,0.11809166666666666,240.16094444444445,4.37625,24.674,2.1029999999999998,0.33,7.172,15.068999999999999,0,1440,100.0,2007,1,Jan,Friday,Weekday,Normal
2007-01-20,2.1762027777777777,0.16552916666666667,238.8674722222222,9.348055555555556,52.22886666666667,4.324,5.222,11.44,31.242866666666668,0,1440,100.0,2007,1,Jan,Saturday,Weekend,Normal
2007-01-21,2.366154166666667,0.15953888888888887,238.96811805555558,10.190694444444444,56.7877,10.346,5.567,11.599,29.2757,0,1440,100.0,2007,1,Jan,Sunday,Weekend,High usage
2007-01-22,1.5142319444444445,0.1171125,241.60313194444444,6.355277777777778,36.341566666666665,1.054,2.983,11.360999999999999,20.943566666666666,0,1440,100.0,2007,1,Jan,Monday,Weekday,Normal
2007-01-23,1.2344722222222222,0.09602777777777778,242.76255555555556,5.260833333333333,29.627333333333333,0.0,1.064,5.061,23.502333333333333,0,1440,100.0,2007,1,Jan,Tuesday,Weekday,Normal
2007-01-24,2.074898611111111,0.12365277777777778,241.45769444444446,8.733611111111111,49.79756666666667,3.464,2.48,11.744,32.109566666666666,0,1440,100.0,2007,1,Jan,Wednesday,Weekday,Normal
2007-01-25,1.1085722222222223,0.10011111111111111,243.42436111111112,4.629305555555556,26.605733333333333,1.158,0.262,11.238999999999999,13.946733333333333,0,1440,100.0,2007,1,Jan,Thursday,Weekday,Normal
2007-01-26,1.1235916666666665,0.09923749999999999,242.77179166666667,4.721388888888889,26.9662,1.163,0.261,8.238,17.3042,0,1440,100.0,2007,1,Jan,Friday,Weekday,Normal
2007-01-27,1.4194944444444444,0.10294583333333332,241.61656944444442,5.949861111111111,34.06786666666667,1.17,3.896,12.374,16.627866666666666,0,1440,100.0,2007,1,Jan,Saturday,Weekend,Normal
2007-01-28,2.1475173611111114,0.10668611111111112,240.30152083333334,9.133888888888889,51.540416666666665,3.4659999999999997,3.9975,12.061,32.01591666666667,1,1440,100.0,2007,1,Jan,Sunday,Weekend,Normal
